       2    10000    8.545e-06   2.3148e-06    6.495e-06   6.9092e-07
       4    10000   4.2356e-06    1.241e-06   3.2617e-06   3.4189e-07
       8    10000   2.1384e-06   5.5979e-07   1.8466e-06   5.2479e-07
      16    10000   1.0877e-06   2.8969e-07   8.3199e-07   9.0067e-08
      32    10000   5.5761e-07   1.4373e-07   4.3099e-07   4.4027e-08
      64    10000   2.9184e-07   7.5148e-08   2.6125e-07   7.9935e-08
     128    10000   1.6067e-07    4.135e-08   1.2893e-07   1.3147e-08
     256    10000   9.3936e-08   2.3583e-08   7.8317e-08   8.4626e-09
     512    10000   6.6395e-08   2.0988e-08   5.3298e-08   5.5576e-09
    1024    10000   4.9272e-08   1.4135e-08   4.3029e-08   4.7968e-09
    2048    10000   3.9332e-08   1.0583e-08   3.7537e-08   8.9067e-09
    4096    10000   5.1082e-08   9.4118e-09   4.9591e-08   8.5589e-09
    8192    10000   7.8037e-08    9.635e-09   7.7526e-08   9.4498e-09
   16384    10000   4.2451e-08   1.6502e-08   4.2925e-08    1.446e-08
   32768    10000   8.2779e-08   1.8902e-08   8.2478e-08   1.8541e-08
   65536    10000   1.0993e-07    1.266e-08    1.099e-07   1.2579e-08
  131072    10000   1.0987e-07   1.1902e-08   1.0987e-07   1.1896e-08
  262144    10000   1.0906e-07   1.1752e-08   1.0888e-07   1.1238e-08
